CATAID_1,SPECID,BPT,WHAN,WISE_AGN,CIGALE_AGN,BLR_HA,BLR_HB,LOFAR,eFEDS,Score
601054,G09_Y1_HS2_257,AGNXY,sAGN,False,False,True,False,False,False,3
347209,G09_Y1_FX2_170,AGNXY,wAGN,True,False,False,False,False,False,3
382600,G09_Y1_FX2_091,AGNXY,sAGN,False,False,True,False,False,False,3
178033,G12_Y5_002_272,AGNXY,sAGN,False,False,True,False,False,False,3
543892,G15_Y1_BS2_133,AGNXY,sAGN,False,False,True,False,False,False,3
263031,604768262923773952,UNCXY,sAGN,False,False,True,True,False,False,3
3629182,G09_Y1_FS2_127,AGNXY,sAGN,False,False,False,False,False,True,3
422929,636205777584941056,AGNXY,sAGN,False,False,True,False,False,False,3
573808,G09_Y1_AS1_385,AGNXY,sAGN,False,False,False,False,True,False,3
323246,G09_Y1_BN1_307,AGNXY,ELR,False,False,True,False,False,True,3
48509,G15_Y1_ES2_098,AGNXY,sAGN,False,False,True,False,False,False,3
663361,G09_Y1_IS2_109,AGNXY,sAGN,False,False,True,False,False,False,3
717517,600138493783468032,UNCXY,sAGN,False,False,True,True,False,False,3
198560,G09_Y1_IS2_169,AGNXY,sAGN,False,False,True,False,False,False,3
383215,G09_Y2_004_112,AGNXY,sAGN,False,False,False,True,False,False,3
381008,G09_Y1_BN2_306,SFGXY,UNC,False,False,True,True,False,True,3
325007,530472611239454720,AGNXY,wAGN,False,False,False,False,False,True,3
372775,531513574393145344,AGNXY,sAGN,False,False,True,False,False,False,3
601252,531567725340813312,AGNXY,sAGN,False,False,False,False,True,False,3
373280,532566631218440192,AGNXY,sAGN,False,False,False,False,True,False,3
279905,532575427311462400,AGNXY,NER,False,False,True,False,False,True,3
383051,532678231648659456,AGNXY,wAGN,False,False,True,False,False,False,3
396833,5336779946893770752,AGNXY,sAGN,False,False,True,False,False,False,3
216821,533767573985060864,AGNXY,sAGN,False,False,True,False,False,False,3
210948,533784066659477504,UNCXY,sAGN,False,False,True,False,False,True,3
492699,G15_Y2_003_399,AGNXY,sAGN,False,False,True,False,False,False,3
79753,G15_Y1_IS2_298,AGNXY,wAGN,False,False,False,False,True,False,3
272822,580980328689068032,AGNXY,sAGN,True,False,False,False,False,False,3
71002,G12_Y6_057_175,UNCXY,sAGN,False,True,True,False,False,False,3
383149,G09_Y2_004_139,SFGX,sAGN,False,True,False,False,False,True,3
3575961,G09_Y4_203_202,AGNXY,sAGN,False,True,False,False,False,False,3
266104,601386714409232384,AGNXY,sAGN,False,False,True,False,False,False,3
486785,1035963744431138816,AGNXY,sAGN,True,False,False,False,False,False,3
493172,1034871929351202816,AGNXY,sAGN,False,False,True,False,False,False,3
7618,319914760449583104,UNCXY,sAGN,False,False,True,True,False,False,3
54201,319841093170522112,AGNXY,wAGN,False,False,True,False,False,False,3
610018,319889196804237312,AGNXY,wAGN,False,False,True,False,False,False,3
30663,318652246491424768,AGNXY,sAGN,False,False,True,False,False,False,3
39921,320966443103447040,AGNXY,sAGN,False,False,True,False,False,False,3
54690,319775122472855552,AGNXY,sAGN,True,False,False,False,False,False,3
229098,G15_Y1_GN1_012,UNCXY,sAGN,False,False,True,False,False,False,2
129976,G12_Y6_051_391,AGNXY,sAGN,False,False,False,False,False,False,2
129770,G12_Y5_026_294,AGNXY,sAGN,False,False,False,False,False,False,2
92769,343555079544006656,UNCXY,sAGN,False,False,True,False,False,False,2
65406,346787094795937792,AGNXY,ELR,False,False,True,False,False,False,2
202591,G09_Y1_BS1_193,AGNXY,UNC,False,False,False,False,False,True,2
3899250,G09_Y1_BS2_044,AGNXY,SFG,False,False,True,False,False,False,2
381284,G09_Y3_003_073,AGNXY,UNC,False,False,True,False,False,False,2
64943,346862961098254336,AGNXY,UNC,False,False,True,False,False,False,2
346073,G09_Y1_BX1_038,SFGX,wAGN,False,True,False,False,False,False,2
320289,G15_Y1_EN1_311,AGNXY,sAGN,False,False,False,False,False,False,2
228288,343561676613773312,AGNXY,ELR,False,False,False,False,True,False,2
301250,G09_Y1_CN1_012,AGNXY,wAGN,False,False,False,False,False,False,2
621987,G09_Y2_029_112,SFGX,sAGN,False,False,True,False,False,False,2
609331,317678349017180160,AGNXY,wAGN,False,False,False,False,False,False,2
381138,G09_Y2_026_070,AGNXY,sAGN,False,False,False,False,False,False,2
341506,G15_Y4_219_096,AGNXY,sAGN,False,False,False,False,False,False,2
203979,G09_Y6_060_163,NOEL,NER,False,False,False,False,True,True,2
619960,346927282528479232,SFGXY,SFG,False,False,True,True,False,False,2
826483,G09_Y6_062_118,SFGX,sAGN,False,False,True,False,False,False,2
214649,G09_Y1_BN2_106,SFGX,sAGN,False,False,True,False,False,False,2
372556,G09_Y3_025_091,AGNXY,SFG,True,False,False,False,False,False,2
64330,G15_Y1_FS2_380,AGNXY,wAGN,False,False,False,False,False,False,2
508981,1034837294734927872,AGNXY,wAGN,False,False,False,False,False,False,2
250955,G15_Y4_217_134,SFGX,sAGN,False,False,True,False,False,False,2
363395,G15_Y4_216_204,AGNXY,sAGN,False,False,False,False,False,False,2
71195,G12_Y3_022_210,AGNXY,sAGN,False,False,False,False,False,False,2
363316,G15_Y4_216_203,AGNXY,wAGN,False,False,False,False,False,False,2
345622,635085100341553152,UNCXY,sAGN,False,False,True,False,False,False,2
325011,530473435873175552,AGNXY,sAGN,False,False,False,False,False,False,2
324845,530451170762713088,SFGX,wAGN,False,False,True,False,False,False,2
322946,G09_Y1_AN2_289,UNCX,wAGN,False,False,False,False,True,False,2
196106,G09_Y1_AS1_140,AGNXY,sAGN,False,False,False,False,False,False,2
172786,G12_Y5_012_153,AGNXY,sAGN,False,False,False,False,False,False,2
208560,G09_Y1_AS1_274,AGNXY,wAGN,False,False,False,False,False,False,2
107482,G15_Y1_GN1_028,UNCXY,wAGN,False,False,True,False,False,False,2
693741,G12_Y3_044_396,UNCXY,sAGN,False,False,True,False,False,False,2
208807,G09_Y1_AS1_369,AGNXY,wAGN,False,False,False,False,False,False,2
513281,G15_Y2_011_274,AGNXY,sAGN,False,False,False,False,False,False,2
65104,G15_Y3_042_036,UNCX,NER,False,False,True,True,False,False,2
545574,345665318074476544,AGNXY,sAGN,False,False,False,False,False,False,2
53744,317525791778826240,UNCXY,SFG,False,False,True,True,False,False,2
594910,346930306185455616,AGNXY,sAGN,False,False,False,False,False,False,2
106965,G15_Y1_EN1_046,AGNXY,sAGN,False,False,False,False,False,False,2
376156,G09_Y1_CN2_286,UNCXY,sAGN,False,False,True,False,False,False,2
238210,G15_Y1_BN1_316,AGNXY,sAGN,False,False,False,False,False,False,2
325286,G09_Y1_HN2_352,AGNXY,sAGN,False,False,False,False,False,False,2
49516,G15_Y3_018_010,UNCXY,sAGN,False,False,True,False,False,False,2
600208,G09_Y1_ES2_251,UNCXY,sAGN,False,False,False,False,False,True,2
297101,G15_Y1_CN2_202,AGNXY,sAGN,False,False,False,False,False,False,2
238649,G15_Y3_014_304,UNCXY,sAGN,False,False,True,False,False,False,2
210409,G09_Y1_GS1_381,AGNXY,wAGN,False,False,False,False,False,False,2
186317,373966209428776960,AGNXY,sAGN,False,False,False,False,False,False,2
3630897,G09_Y1_GS1_137,AGNXY,sAGN,False,False,False,False,False,False,2
297352,G15_Y3_003_194,UNCXY,sAGN,False,False,False,False,True,False,2
377262,G09_Y1_GN2_224,AGNX,LLR,False,False,False,False,True,True,2
594961,347986667551877120,SFGX,UNC,False,False,True,False,True,False,2
22025,318741032055367680,AGNXY,sAGN,False,False,False,False,False,False,2
622569,4295516320076136448,AGNXY,sAGN,False,False,False,False,False,False,2
215845,4298853062904643584,UNCX,wAGN,False,False,False,False,True,False,2
622892,4298858010706968576,NOEL,NER,False,False,False,False,True,True,2
23117,321049181353437184,AGNXY,wAGN,False,False,False,False,False,False,2
209963,G09_Y1_FS1_242,AGNXY,sAGN,False,False,False,False,False,False,2
53844,318705297927464960,AGNXY,sAGN,False,False,False,False,False,False,2
550459,G09_Y1_FS2_173,UNCXY,sAGN,False,False,True,False,False,False,2
210108,G09_Y1_FS2_380,AGNXY,UNC,False,False,True,False,False,False,2
78879,G15_Y3_026_332,UNCXY,sAGN,False,False,True,False,False,False,2
165409,372682529620125696,UNCXY,sAGN,False,False,True,False,False,False,2
198228,G09_Y1_HS2_160,UNCXY,sAGN,False,False,True,False,False,False,2
240510,G15_Y1_IN1_325,AGNXY,sAGN,False,False,False,False,False,False,2
574976,G09_Y2_018_370,UNCXY,sAGN,False,False,False,True,False,False,2
229488,348002885348386816,AGNXY,wAGN,False,False,False,False,False,False,2
163517,368213013611702272,UNCXY,sAGN,False,False,True,False,False,False,2
371976,527055878654814208,UNCX,wAGN,False,False,False,False,False,True,2
85314,G12_Y6_061_144,SFGX,wAGN,False,True,False,False,False,False,2
3624571,G09_Y1_CS2_116,UNCXY,sAGN,False,False,False,False,False,True,2
39425,318646748933285888,AGNXY,sAGN,False,False,False,False,False,False,2
278244,G15_Y1_DN2_004,AGNXY,sAGN,False,False,False,False,False,False,2
347776,G09_Y2_002_167,UNCXY,sAGN,False,False,True,False,False,False,2
345624,G09_Y1_test_340,AGNXY,sAGN,False,False,False,False,False,False,2
237812,G15_Y1_AN1_325,SFGX,sAGN,False,False,False,True,False,False,2
210884,G09_Y1_IS2_270,SFGX,sAGN,False,False,True,False,False,False,2
171132,370563765478909952,AGNXY,sAGN,False,False,False,False,False,False,2
31219,320963969202284544,AGNXY,SFG,False,False,True,False,False,False,2
547862,526947576759478272,NOEL,LLR,False,False,False,False,True,True,2
197040,G09_Y1_DS1_094,SFGX,wAGN,False,False,False,False,True,False,2
601470,G09_Y1_IS1_263,AGNXY,sAGN,False,False,False,False,False,False,2
622662,526932183596689408,UNCXY,sAGN,False,False,True,False,False,False,2
177665,371667405543335936,AGNXY,sAGN,False,False,False,False,False,False,2
15553,343489108846340096,AGNXY,sAGN,False,False,False,False,False,False,2
249572,599120345999370240,AGNXY,sAGN,False,False,False,False,False,False,2
363923,604755068784240640,AGNXY,sAGN,False,False,False,False,False,False,2
273718,5348071381202894848,AGNXY,sAGN,False,False,False,False,False,False,2
47319,340062482116667392,UNCXY,sAGN,False,False,True,False,False,False,2
62276,340064406262016000,AGNXY,wAGN,False,False,False,False,False,False,2
584427,G12_Y1_ND3_039,AGNXY,sAGN,False,False,False,False,False,False,2
272203,G12_Y1_CX1_087,AGNXY,wAGN,False,False,False,False,False,False,2
30978,G12_Y1_CS2_360,UNCXY,sAGN,False,False,True,False,False,False,2
98958,G12_Y1_ND4_326,UNCXY,sAGN,False,False,True,False,False,False,2
105498,340165836209678336,UNCXY,sAGN,False,False,True,False,False,False,2
585551,G12_Y1_ND5_009,UNCXY,sAGN,False,False,True,False,False,False,2
297805,602423553907779584,UNCXY,sAGN,False,False,True,False,False,False,2
93573,G15_Y1_HN1_132,AGNXY,sAGN,False,False,False,False,False,False,2
3237919,G15_Y6_081_075,UNCX,sAGN,False,False,False,True,False,False,2
98227,G12_Y1_BX2_048,AGNXY,wAGN,False,False,False,False,False,False,2
185957,G12_Y2_004_130,UNCXY,sAGN,False,False,True,False,False,False,2
47615,341185632019703808,UNCX,ELR,False,False,True,False,True,False,2
22314,G12_Y1_BX1_029,AGNXY,sAGN,False,False,False,False,False,False,2
703987,G12_Y2_005_188,AGNXY,sAGN,False,False,False,False,False,False,2
342615,602450217064753152,AGNXY,sAGN,False,False,False,False,False,False,2
204906,533763725694363648,AGNXY,ELR,False,False,True,False,False,False,2
251257,602398814896154624,AGNXY,ELR,False,False,True,False,False,False,2
41198,G12_Y1_HS2_362,AGNXY,wAGN,False,False,False,False,False,False,2
49308,G15_Y1_GS2_014,UNCXY,sAGN,False,False,True,False,False,False,2
49768,G15_Y1_IS2_167,AGNXY,sAGN,False,False,False,False,False,False,2
227623,600106882824169472,UNCXY,sAGN,False,False,True,False,False,False,2
238593,600113205016029184,AGNXY,sAGN,False,False,False,False,False,False,2
584015,319865557304240128,AGNXY,sAGN,False,False,False,False,False,False,2
31941,G12_Y1_GS1_231,UNCXY,sAGN,False,False,True,False,False,False,2
221054,583242028553365504,AGNXY,sAGN,False,False,False,False,False,False,2
265388,600219033010202624,AGNXY,ELR,False,False,True,False,False,False,2
65255,G15_Y1_IS1_201,UNCXY,sAGN,False,False,True,False,False,False,2
250391,600267961277638656,AGNXY,sAGN,False,False,False,False,False,False,2
8975,323302906872752128,AGNXY,sAGN,False,False,False,False,False,False,2
84465,319882599734470656,UNCX,UNC,False,False,True,False,True,False,2
585613,G12_Y1_HN1_160,UNCXY,sAGN,False,False,True,False,False,False,2
560402,G12_Y1_END1_084,UNCXY,sAGN,False,False,True,False,False,False,2
64666,G15_Y6_101_329,UNCXY,sAGN,False,False,True,False,False,False,2
584065,319874628275169280,UNCXY,sAGN,False,False,False,False,True,False,2
535762,G12_Y1_DS2_353,AGNXY,sAGN,False,False,False,False,False,False,2
138715,G12_Y1_HS1_133,AGNXY,sAGN,False,False,False,False,False,False,2
24140,324360361794889728,AGNXY,sAGN,False,False,False,False,False,False,2
32141,G12_Y1_HS1_211,AGNXY,sAGN,False,False,False,False,False,False,2
250981,602462586570565632,UNCXY,sAGN,False,False,True,False,False,False,2
594479,4528527844787617792,SFGX,wAGN,False,True,False,False,False,False,2
251657,603619822978230272,UNCXY,sAGN,False,False,True,False,False,False,2
511824,343450900817274880,AGNXY,sAGN,False,False,False,False,False,False,2
136305,G12_Y1_AS1_127,UNCXY,sAGN,False,True,False,False,False,False,2
184103,G12_Y1_AS1_038,AGNXY,sAGN,False,False,False,False,False,False,2
619533,G15_Y1_GS1_340,UNCXY,sAGN,False,False,True,False,False,False,2
593649,343411593276581888,AGNXY,sAGN,False,False,False,False,False,False,2
39011,G12_Y1_AS1_289,AGNXY,sAGN,False,False,False,False,False,False,2
7088,G12_Y1_BN1_247,AGNXY,sAGN,False,False,False,False,False,False,2
47868,342337920104949760,UNCX,ELR,False,False,True,False,True,False,2
535387,319813055624013824,UNCXY,sAGN,False,False,True,False,False,False,2
388450,532697198224238592,SFGX,sAGN,False,False,True,False,False,False,2
544258,342337645227042816,UNCX,ELR,False,False,True,False,True,False,2
136554,G12_Y1_AS2_028,NOEL,NER,False,False,True,True,False,False,2
239106,601248725699946496,UNCXY,sAGN,False,False,False,False,False,False,1
381647,G09_Y1_DN2_281,SFGX,UNC,False,False,False,False,True,False,1
550179,G09_Y1_ES2_160,UNCXY,sAGN,False,False,False,False,False,False,1
550260,G09_Y1_ES2_108,AGNXY,LLR,False,False,False,False,False,False,1
252244,604618729342396416,SFGX,wAGN,False,False,False,False,False,False,1
203724,G09_Y1_ES2_016,AGNXY,ELR,False,False,False,False,False,False,1
227971,601289682508081152,SFGX,sAGN,False,False,False,False,False,False,1
49642,G15_Y1_HS1_053,UNCXY,wAGN,False,False,False,False,False,False,1
592957,G15_Y1_CS1_278,UNCXY,sAGN,False,False,False,False,False,False,1
535507,319781444664715264,SFGX,sAGN,False,False,False,False,False,False,1
65140,G15_Y1_HS1_010,AGNXY,LLR,False,False,False,False,False,False,1
382034,G09_Y1_EN2_311,SFGX,sAGN,False,False,False,False,False,False,1
3626193,G09_Y1_DS2_098,UNCXY,wAGN,False,False,False,False,False,False,1
755505,G15_Y6_093_053,SFGX,UNC,False,False,False,False,True,False,1
301834,G09_Y1_EN1_388,SFGX,sAGN,False,False,False,False,False,False,1
319799,601274014467385344,UNCX,ELR,False,False,True,False,False,False,1
47895,G15_Y1_CS2_110,UNCXY,sAGN,False,False,False,False,False,False,1
203641,G09_Y1_ES2_188,SFGX,sAGN,False,False,False,False,False,False,1
228031,601257796670875648,SFGX,sAGN,False,False,False,False,False,False,1
386481,635012807452026880,AGNX,LLR,False,False,False,False,False,True,1
593058,G15_Y1_CS2_354,AGNX,LLR,False,False,True,False,False,False,1
492204,G15_Y1_CX2_213,UNCXY,sAGN,False,False,False,False,False,False,1
600120,G09_Y1_DS2_312,SFGX,wAGN,False,False,False,False,False,False,1
3625535,G09_Y1_DS2_153,AGNXY,NER,False,False,False,False,False,False,1
49644,G15_Y1_HS1_047,SFGX,wAGN,False,False,False,False,False,False,1
516915,G09_Y1_AX2_075,UNCXY,sAGN,False,False,False,False,False,False,1
239259,601236356194134016,SFGX,wAGN,False,False,False,False,False,False,1
197613,G09_Y1_FS1_135,UNCX,ELR,False,False,False,False,True,False,1
341655,599138762819135488,UNCX,ELR,False,False,False,False,True,False,1
203907,G09_Y1_FS2_177,SFGX,sAGN,False,False,False,False,False,False,1
298955,G15_Y1_IN1_206,UNCXY,sAGN,False,False,False,False,False,False,1
7104,318740757177460736,SFGX,sAGN,False,False,False,False,False,False,1
197614,G09_Y1_FS2_116,SFGXY,sAGN,False,False,False,False,False,False,1
343708,604744348545869824,SFGX,wAGN,False,False,False,False,False,False,1
197703,G09_Y1_FS2_079,UNCX,LLR,False,False,False,False,True,False,1
297087,600107982335797248,SFGX,sAGN,False,False,False,False,False,False,1
262859,604735277574940672,UNCXY,sAGN,False,False,False,False,False,False,1
296905,600129147934631936,SFGX,wAGN,False,False,False,False,False,False,1
229390,G15_Y1_IN1_166,UNCXY,sAGN,False,False,False,False,False,False,1
3628649,G09_Y1_FS1_157,SFGX,wAGN,False,False,False,False,False,False,1
204092,G09_Y1_FS1_006,AGNXY,ELR,False,False,False,False,False,False,1
418480,G09_Y1_EX1_012,UNCXY,sAGN,False,False,False,False,False,False,1
250082,600149214021838848,UNCXY,sAGN,False,False,False,False,False,False,1
106091,G15_Y1_CN1_141,AGNXY,NER,False,False,False,False,False,False,1
238118,600179450591602688,UNCX,LLR,False,False,False,False,True,False,1
93234,G15_Y1_GN1_124,SFGX,sAGN,False,False,False,False,False,False,1
559808,319796013193783296,UNCXY,sAGN,False,False,False,False,False,False,1
240043,G15_Y1_GN1_358,UNCXY,sAGN,False,False,False,False,False,False,1
302084,G09_Y1_FN2_030,UNCXY,sAGN,False,False,False,False,False,False,1
372642,G09_Y1_FN2_007,UNCX,wAGN,False,False,False,False,False,False,1
16837,G15_Y1_GN2_048,UNCXY,sAGN,False,False,False,False,False,False,1
301963,G09_Y1_FN1_216,SFGX,sAGN,False,False,False,False,False,False,1
106082,G15_Y1_CN2_117,SFGX,wAGN,False,False,False,False,False,False,1
422286,635082901318297600,SFGX,sAGN,False,False,False,False,False,False,1
382215,G09_Y1_EX1_125,UNCXY,sAGN,False,False,False,False,False,False,1
622431,G09_Y1_DN2_152,SFGX,wAGN,False,False,False,False,False,False,1
107540,G15_Y1_HN1_179,UNCXY,sAGN,False,False,False,False,False,False,1
250384,601349880769701888,UNCXY,sAGN,False,False,False,False,False,False,1
239377,602410359768246272,SFGX,wAGN,False,False,False,False,False,False,1
320216,602420255372896256,SFGX,sAGN,False,False,False,False,False,False,1
228354,G15_Y1_EN1_188,SFGX,wAGN,False,False,False,False,False,False,1
93395,G15_Y1_GS1_320,SFGX,sAGN,False,False,False,False,False,False,1
376224,G09_Y1_CN1_362,UNCXY,sAGN,False,False,False,False,False,False,1
228392,G15_Y1_EN1_196,AGNXY,UNC,False,False,False,False,False,False,1
320915,603513445228242944,UNCXY,sAGN,False,False,False,False,False,False,1
251113,602421354884524032,SFGX,wAGN,False,False,False,False,False,False,1
298483,603511795960801280,UNCXY,sAGN,False,False,False,False,False,False,1
345891,G09_Y1_BX2_116,SFGX,wAGN,False,False,False,False,False,False,1
